scenario,number_extend,count,mean,std,min,percentile25,percentile50,percentule75,max
remote,100000,100000.0,22.83336,2.2527897951246167,15.0,22.0,23.0,24.0,230.0
remote,100000,100000.0,23.45396,9.739357723650665,15.0,23.0,24.0,24.0,1043.0
remote,100000,100000.0,23.74575,9.710914990679084,16.0,23.0,24.0,25.0,1051.0
remote,100000,100000.0,22.95863,6.971100665280462,15.0,22.0,23.0,24.0,1044.0
remote,100000,100000.0,22.63018,6.986716060465781,15.0,22.0,23.0,24.0,1020.0
remote,100000,92010.0,22.554385392892076,2.4614590637418945,15.0,22.0,23.0,24.0,231.0
remote with mTLS,10,10.0,41.8,8.638415492567036,37.0,38.0,39.0,40.75,66.0
remote with mTLS,10,10.0,40.8,5.245103536738918,37.0,38.25,39.0,39.0,54.0
remote with mTLS,10,10.0,43.1,7.415449338299662,39.0,40.25,41.0,41.0,64.0
remote with mTLS,10,10.0,42.9,2.726414006223804,41.0,41.0,42.5,43.0,50.0
remote with mTLS,10,10.0,39.9,4.121757985239902,36.0,37.0,39.0,40.5,49.0
remote with mTLS,10,10.0,38.6,0.9660917830792958,37.0,38.0,38.5,39.0,40.0
remote with mTLS,10,10.0,38.1,0.8755950357709134,37.0,38.0,38.0,38.0,40.0
remote with mTLS,100,100.0,38.79,3.223320955132762,32.0,37.0,38.5,40.0,51.0
remote with mTLS,100,100.0,39.08,4.668138296099971,32.0,37.0,38.0,40.0,64.0
remote with mTLS,100,100.0,41.65,3.9984214056767127,34.0,40.0,41.0,42.0,64.0
remote with mTLS,100,100.0,43.41,5.7297645693520485,36.0,41.0,42.0,44.0,79.0
remote with mTLS,100,100.0,39.31,4.527569865710401,32.0,38.0,38.0,40.0,60.0
remote with mTLS,100,100.0,43.17,24.699018505833692,32.0,38.0,38.0,40.0,239.0
remote with mTLS,100,100.0,39.61,4.261395892133818,33.0,38.0,38.0,40.25,70.0
remote with mTLS,1000,1000.0,38.803,3.053770868371841,32.0,38.0,38.0,39.25,63.0
remote with mTLS,1000,1000.0,38.409,3.170452770626108,31.0,37.0,38.0,39.0,69.0
remote with mTLS,1000,1000.0,41.54,9.24423365433042,32.0,40.0,41.0,42.0,261.0
remote with mTLS,1000,1000.0,42.274,4.177364524957611,35.0,41.0,42.0,44.0,75.0
remote with mTLS,1000,1000.0,38.629,4.000420273216586,31.0,37.0,38.0,40.0,64.0
remote with mTLS,1000,1000.0,38.558,3.5422003307524736,31.0,37.0,38.0,39.0,66.0
remote with mTLS,1000,1000.0,38.652,3.7673716420190138,31.0,37.0,38.0,39.0,69.0
remote with mTLS,10000,10000.0,38.8924,5.1189884395516625,31.0,38.0,38.0,40.0,255.0
remote with mTLS,10000,10000.0,38.3371,3.802829175886599,30.0,37.0,38.0,39.0,162.0
remote with mTLS,10000,10000.0,41.1049,6.108193431178889,32.0,40.0,40.0,42.0,311.0
remote with mTLS,10000,10000.0,41.919,3.7619481954730256,34.0,40.0,41.0,43.0,154.0
remote with mTLS,10000,10000.0,38.7797,3.3893534312120535,31.0,38.0,38.0,40.0,99.0
remote with mTLS,10000,10000.0,38.3559,3.7495654567044108,30.0,37.0,38.0,39.0,167.0
remote with mTLS,10000,10000.0,38.4261,4.521458077690691,30.0,37.0,38.0,39.0,238.0
remote with mTLS,100000,100000.0,39.54423,18.10742616983197,31.0,38.0,39.0,40.0,1071.0
remote with mTLS,100000,100000.0,39.26037,21.967490597920936,30.0,37.0,38.0,39.0,1072.0
remote with mTLS,100000,100000.0,41.96597,21.032149093041888,32.0,40.0,41.0,42.0,1161.0
remote with mTLS,100000,100000.0,42.80922,21.105282213716603,33.0,41.0,42.0,43.0,1154.0
remote with mTLS,100000,100000.0,38.78526,13.084603119724314,31.0,37.0,38.0,40.0,1072.0
remote with mTLS,100000,100000.0,38.53254,10.664839358202416,30.0,37.0,38.0,39.0,1065.0
remote with mTLS,100000,100000.0,38.67272,16.560511776732934,31.0,37.0,38.0,39.0,1072.0
