scenario,number_extend,count,mean,std,min,percentile25,percentile50,percentile75,max
remote with mTLS,1000,1000,52.52,12.734739793085566,40,49,51,54,267
remote with mTLS,1000,1000,51.17,10.340827225503196,39,48,50,53,226
remote with mTLS,1000,1000,49.93,17.34645238688329,37,46,48,50,278
remote with mTLS,1000,1000,47.83,8.297585246378707,37,45,47,49,252
remote with mTLS,1000,1000,51.00,15.19651055120659,39,47,49,52,280
remote with mTLS,1000,1000,52.57,8.05054875988807,40,49,52,54,177
remote with mTLS,1000,1000,52.92,12.710297504884089,41,49,51,54,231
remote with mTLS,1000,1000,61.33,80.90109642893201,41,49,51,54,1059
remote with mTLS,1000,1000,53.87,15.235507759726833,41,50,52,55,279
remote with mTLS,1000,1000,52.92,11.256211720747896,42,50,52,54,270
remote with mTLS,1000,1000,70.81,117.36193795468985,40,48,50,53,1077
remote with mTLS,1000,1000,51.75,5.5048435311371255,42,49,51,53,117
remote with mTLS,1000,1000,52.60,5.536682567553777,41,50,52,54,109
remote with mTLS,1000,1000,52.31,6.683483219695268,41,50,52,54,172
remote with mTLS,1000,1000,55.67,40.42222656411193,42,49,51,54,678
remote with mTLS,1000,1000,52.86,5.2434764274329275,41,50,52,55,108
remote with mTLS,1000,1000,65.25,85.22773472154327,40,50,52,55,1064
remote with mTLS,1000,1000,62.82,87.09332303866869,38,45,48,51,1064
remote with mTLS,1000,1000,51.70,11.312734105995425,41,48,51,53,288
remote with mTLS,1000,1000,52.97,17.438000426048223,40,48,50,53,285
remote with mTLS,1000,1000,53.62,4.211514318253337,42,51,54,56,94
remote,10000,10000,38.78,40.645547608734304,26,34,36,38,1077
remote,10000,10000,43.77,3.6853496347285106,31,42,44,46,188
remote,10000,10000,42.90,26.206246994334133,31,39,42,44,1075
remote,10000,10000,42.57,34.96826042175713,30,39,41,43,1072
remote,10000,10000,43.45,57.05948297434713,27,36,38,40,1056
remote,10000,10000,42.01,4.422683891403566,30,40,42,44,258
remote,10000,10000,42.66,3.588926829789011,31,40,43,45,176
remote,10000,10000,45.24,52.803680012498866,30,39,41,43,1092
remote,10000,10000,50.43,85.00487303698564,27,37,39,42,1088
remote,10000,10000,38.37,5.670392272572708,27,36,38,40,255
remote,10000,10000,49.07,67.68360973687007,30,40,42,44,1074
remote with mTLS,10000,10000,52.94,8.526432065311921,39,50,52,55,274
remote with mTLS,10000,10000,57.19,63.1515532560986,39,49,51,54,1127
remote with mTLS,10000,10000,57.41,71.09633149041643,39,48,51,53,1616
remote with mTLS,10000,10000,53.02,32.144048951373605,39,48,51,53,1058
remote with mTLS,10000,10000,55.00,61.85106739429712,36,46,48,50,1084
remote with mTLS,10000,10000,66.13,188.94858996119797,35,46,48,51,3901
remote with mTLS,10000,10000,55.39,53.2181991320811,39,48,51,54,1076
remote with mTLS,10000,10000,55.30,69.50326978237081,37,45,47,49,1151
remote with mTLS,10000,10000,52.28,52.10707209253106,37,46,47,50,1072
remote with mTLS,10000,10000,49.41,28.12673559223471,37,45,47,49,1055
remote with mTLS,10000,10000,50.99,37.9283207651183,37,46,48,50,1062
remote with mTLS,10000,10000,55.18,69.35392906315973,36,45,47,49,1059
remote with mTLS,10000,10000,57.42,64.2573350797493,39,48,50,53,1115
remote with mTLS,10000,10000,51.73,50.01804046938719,37,45,47,49,1079
remote with mTLS,10000,10000,54.58,64.31093502411757,37,46,47,50,1228
remote with mTLS,10000,10000,51.77,52.101360779632856,37,45,47,49,1073
remote with mTLS,10000,10000,49.60,35.68801142422958,37,45,47,49,1072
remote with mTLS,10000,10000,49.96,43.6110019818323,37,44,47,49,1072
remote with mTLS,10000,10000,48.57,27.218685391536376,37,45,47,49,1060
remote with mTLS,10000,10000,48.26,5.7782160757540035,37,46,48,50,213
remote with mTLS,10000,10000,48.52,25.52103042706931,37,45,47,49,1083
remote with mTLS,10000,10000,59.97,68.57904045872249,41,50,52,55,1182
remote with mTLS,10000,10000,54.10,37.53541793026881,40,50,51,54,1089
remote with mTLS,10000,10000,55.89,67.35852188518551,36,46,48,50,1104
remote with mTLS,10000,10000,53.32,46.35455460063509,40,48,50,52,1096
remote with mTLS,10000,10000,77.99,140.8619664286589,39,48,51,54,1794
remote,100000,100000,38.31,21.563980217304046,27,36,38,40,1070
remote,100000,100000,61.83,211.77006666488901,29,40,42,44,7060
remote,100000,100000,62.73,334.1910533045343,26,36,38,40,12999
remote,100000,100000,44.67,230.64774256484142,31,41,43,46,7064
remote,100000,100000,41.81,146.90531129753822,27,37,39,42,6548
remote,100000,100000,66.15,262.3972576347463,30,39,41,43,7062
remote,100000,100000,53.34,233.7353893827238,27,36,38,40,10683
remote,100000,100000,64.66,246.0021712247258,27,38,41,44,7053
remote,100000,100000,56.57,244.58966748815504,31,41,43,46,7060
remote,100000,100000,52.79,294.81248516008606,30,40,42,45,7064
remote,100000,100000,56.53,304.9631933958939,27,40,42,45,8704
remote,100000,100000,47.08,136.9852581276994,30,41,43,46,7058
remote,100000,100000,63.25,193.15352745606086,28,39,41,44,7058
remote,100000,100000,63.72,102.4275264997499,27,36,38,41,5666
remote,100000,100000,49.79,474.73877029229993,27,39,41,44,12930
remote,100000,100000,52.38,295.5104066746064,30,41,43,45,7064
remote,100000,100000,43.11,139.56267434946201,27,38,40,42,7055
