scenario,host_id,number_extend,count,mean,std,min,percentile25,percentile50,percentile75,max
remote,host1,100000,10502.0,1.5274452485240906,0.10572316889358162,1.23,1.47,1.54,1.62,1.66
remote,host1,100000,10454.0,1.5737870671513294,0.13318194832828129,1.21,1.52,1.6,1.68,1.73
remote,host2,1000,106.0,1.0162264150943394,0.016758953836463728,0.98,1.0,1.02,1.03,1.04
remote,host2,1000,105.0,1.0096190476190476,0.02075145080765949,0.97,0.99,1.01,1.03,1.04
remote,host2,1000,106.0,0.9871698113207549,0.01445878984471334,0.96,0.98,0.99,1.0,1.01
remote,host2,10000,1030.0,1.2337766990291263,0.1080411712942448,1.04,1.14,1.24,1.33,1.42
remote,host2,10000,1030.0,1.2361650485436895,0.10883048195015924,1.04,1.14,1.24,1.33,1.42
remote,host2,10000,1029.0,1.2197278911564624,0.11041804102402593,1.01,1.13,1.22,1.32,1.41
remote,host2,100000,10477.0,3.0361028920492505,0.841963093042705,1.44,2.35,3.06,3.77,4.41
remote,host2,100000,10501.0,3.04873631082754,0.8290434609116988,1.48,2.36,3.06,3.78,4.42
remote,host2,100000,10453.0,3.0461322108485605,0.8529216646245443,1.42,2.37,3.08,3.79,4.43
remote with mTLS,host1,1000,106.0,1.0526415094339623,0.007342230982143527,1.03,1.05,1.05,1.06,1.06
remote with mTLS,host1,1000,106.0,1.0080188679245283,0.01166352158865652,0.99,1.0,1.01,1.02,1.03
remote with mTLS,host1,1000,114.0,1.037456140350877,0.0071409827425082,1.02,1.03,1.04,1.04,1.05
remote with mTLS,host1,10000,1037.0,1.140433944069431,0.03932471401551772,1.06,1.11,1.14,1.18,1.2
remote with mTLS,host1,10000,1037.0,1.1092189006750242,0.03938312102373592,1.03,1.08,1.11,1.14,1.17
remote with mTLS,host1,10000,1125.0,1.1291644444444444,0.040378707455991335,1.05,1.1,1.13,1.17,1.2
remote with mTLS,host1,100000,10517.0,1.5289892554911098,0.11087473175469775,1.21,1.48,1.54,1.62,1.67
